Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
89,5258137138,Firedog50 (3/6),2.68,86.8,1B Josh Bell 2B Kody Clemens 3B Brooks Lee C Yainer Diaz OF Riley Greene OF Luke Keaschall OF Emmanuel Rodriguez P Taj Bradley P Sonny Gray SS Jeremy Pena,,Jake Burger,1B,1.46%,4
90,5258849435,swartzy444,1.34,86.7,1B Josh Bell 2B Kody Clemens 3B Kevin McGonigle C Adley Rutschman OF Wilyer Abreu OF Roman Anthony OF Jahmai Jones P Sonny Gray P Framber Valdez SS Jeremy Pena,,Munetaka Murakami,1B,1.46%,26
91,5258293701,jjperry2408 (3/3),0,85.65,1B Jake Burger 2B Gleyber Torres 3B Josh Jung C Dillon Dingler OF Wyatt Langford OF Ezequiel Duran OF Max Clark P Taj Bradley P Nolan McLean SS Corey Seager,,Maikel Garcia,SS,1.46%,0
92,5258437802,frieden47,0,85.399994,1B Spencer Torkelson 2B Nick Sogard 3B Miguel Vargas C Carter Jensen OF Riley Greene OF A.J. Ewing OF Cam Smith P Walbert Urena P Framber Valdez SS Kevin McGonigle,,Erick Fedde,P,1.46%,16.3
93,5258256944,ocdobv (1/2),0,85.3,1B Kyle Schwarber 2B Luis Arraez 3B Miguel Vargas C Yainer Diaz OF Bryce Harper OF Brandon Marsh OF Tommy Pham P Taj Bradley P Aaron Nola SS Trea Turner,,Luisangel Acuna,SS,1.46%,0
94,5258462277,JSAM9995 (1/6),5.36,85.15,1B Royce Lewis 2B Kody Clemens 3B Brooks Lee C Moises Ballesteros OF Mike Trout OF Luke Keaschall OF Walker Jenkins P Sonny Gray P Nolan McLean SS Zach Neto,,Danny Jansen,C,0.97%,8
95,5259031101,gdl23,0,84.8,1B Kyle Schwarber 2B Luis Arraez 3B Isaac Paredes C Carter Jensen OF Bryce Harper OF Emmanuel Rodriguez OF Tommy Pham P Taj Bradley P Sonny Gray SS Trea Turner,,Wade Meckler,OF,0.97%,5
96,5258616400,yankeeblue,3.3500001,84.399994,1B Vaughn Grissom 2B Gleyber Torres 3B Kevin McGonigle C Carter Jensen OF Mike Trout OF Wade Meckler OF Jose Siri P Walbert Urena P Framber Valdez SS Zach Neto,,Jose Siri,OF,0.97%,0
97,5258254874,amishrifle028,0,83.5,1B Jared Young 2B Gleyber Torres 3B Miguel Vargas C Dillon Dingler OF Ezequiel Duran OF Randal Grichuk OF Tommy Pham P Taj Bradley P Walbert Urena SS Kevin McGonigle,,Ben Ross,SS,0.97%,7
98,5258141856,OneDropKing (1/6),0,83.399994,1B Kyle Schwarber 2B Luis Arraez 3B Bo Bichette C Garrett Stubbs OF Juan Soto OF Bryce Harper OF Carson Benge P Walbert Urena P Framber Valdez SS Trea Turner,,Alec Bohm,1B,0.97%,3
99,5258683879,LeftyE33 (3/5),0,83.2,1B Willson Contreras 2B Michael Massey 3B Maikel Garcia C Carter Jensen OF Jac Caglianone OF Max Clark OF Daulton Varsho P Taj Bradley P Framber Valdez SS Bobby Witt Jr.,,Nick Sogard,1B,0.97%,0
99,5258969457,Ztrain2020,0,83.2,1B Spencer Torkelson 2B Jose Altuve 3B Isaac Paredes C Dillon Dingler OF Yordan Alvarez OF Riley Greene OF Jahmai Jones P Taj Bradley P Framber Valdez SS Maikel Garcia,,Moises Ballesteros,1B,0.97%,7
